date,itemId,itemName,itemCategory,itemCategory2,itemBrand,itemsViewed,itemsAddedToCart,itemsCheckedOut,itemsPurchased,itemRevenue,itemListViews,itemListClicks,cartToViewRate
20241001,SP-AYK-GN-091,Columbia Go Walk 7 Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Columbia,11,2,1,0,0.0,53,19,0.1818
20241001,SP-AKS-EB-056,Puma Fleece Bere ve Eldiven Seti,Aksesuar,Eldiven ve Bere,Puma,13,1,0,0,0.0,64,16,0.0769
20241001,SP-AYK-KS-012,Columbia Ultraboost Light Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Columbia,14,4,2,1,4897.82,41,15,0.2857
20241001,SP-AKS-SP-022,Nike H86 Futura Washed Erkek Şapka,Aksesuar,Şapka,Nike,1,0,0,0,0.0,10,2,0.0
20241001,SP-AYK-GN-085,Hummel Lite Racer Adapt 6.0 Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Hummel,9,1,0,0,0.0,76,14,0.1111
20241001,SP-AYK-SN-070,Nike Club C 85 Kadın Sneaker,Ayakkabı,Sneaker,Nike,1,0,0,0,0.0,11,2,0.0
20241001,SP-AYK-TR-158,Asics Adilette Comfort Unisex Terlik,Ayakkabı,Terlik,Asics,5,1,0,0,0.0,61,9,0.2
20241001,SP-GYM-EA-048,Lacoste Sportswear Club Kadın Eşofman Altı,Giyim,Eşofman Altı,Lacoste,3,0,0,0,0.0,28,4,0.0
20241001,SP-AYK-SN-060,Puma Chuck Taylor All Star Kadın Sneaker,Ayakkabı,Sneaker,Puma,4,0,0,0,0.0,57,8,0.0
20241001,SP-AYK-HS-101,New Balance Future 7 Play TT Erkek Halı Saha,Ayakkabı,Halı Saha Ayakkabısı,New Balance,11,2,0,0,0.0,58,17,0.1818
20241001,SP-AYK-GN-088,Skechers Lite Racer Adapt 6.0 Kadın Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Skechers,5,1,0,0,0.0,63,9,0.2
20241001,SP-GYM-FR-127,Jack & Jones Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,Jack & Jones,1,0,0,0,0.0,11,2,0.0
20241001,SP-AKS-CR-021,The North Face Trefoil Liner 3'lü Unisex Çorap,Aksesuar,Çorap,The North Face,11,2,0,0,0.0,39,13,0.1818
