date_start,date_stop,account_id,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,objective,buying_type,impressions,reach,frequency,clicks,inline_link_clicks,spend,cpc,cpm,cpp,ctr,inline_link_click_ctr,actions:link_click,actions:landing_page_view,actions:offsite_conversion.fb_pixel_view_content,actions:offsite_conversion.fb_pixel_add_to_cart,actions:offsite_conversion.fb_pixel_initiate_checkout,actions:offsite_conversion.fb_pixel_purchase,action_values:offsite_conversion.fb_pixel_purchase,actions:page_engagement,actions:post_engagement,actions:video_view
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,1769137460537145,Sneaker_Carousel_V1,OUTCOME_AWARENESS,AUCTION,741,374,1.98,16,11,28.2,1.76,38.06,75.4,2.25,1.48,11,8,4,0,0,0,0.0,8,4,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,8345726219422511,Krampon_Video_V2,OUTCOME_AWARENESS,AUCTION,942,491,1.92,14,11,34.4,2.46,36.52,70.06,1.58,1.17,11,8,4,0,0,0,0.0,10,11,167
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,8671429510959679,PumaSuede_Carousel_V1,OUTCOME_AWARENESS,AUCTION,664,295,2.25,5,4,22.72,4.54,34.22,77.02,0.85,0.6,4,3,1,0,0,0,0.0,1,17,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,2801583905615764,Lookalike_Alicilar_1pct,6248592227760944,Yilbasi_Hediye_Carousel_V1,OUTCOME_AWARENESS,AUCTION,1334,784,1.7,27,22,37.09,1.37,27.8,47.31,2.06,1.65,22,16,9,1,0,0,0.0,14,18,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,2801583905615764,Lookalike_Alicilar_1pct,2053927806987557,Esofman_Takimi_Banner_V1,OUTCOME_AWARENESS,AUCTION,1362,763,1.79,17,13,38.3,2.25,28.12,50.2,1.25,0.95,13,11,6,1,0,0,0.0,11,29,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,2801583905615764,Lookalike_Alicilar_1pct,2045954572362267,YeniBahar_Video_V1,OUTCOME_AWARENESS,AUCTION,2037,1193,1.71,30,24,33.77,1.13,16.58,28.31,1.51,1.18,24,18,14,3,1,0,0.0,15,16,230
2024-10-01,2024-10-01,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8561692978165620,25-34_Erkek_Genel,3686799935455633,Indirim_Banner_V1,OUTCOME_AWARENESS,AUCTION,7354,4462,1.65,155,119,111.61,0.72,15.18,25.01,2.11,1.62,119,84,52,10,3,1,1199.54,81,156,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,413290843929087,Lookalike_Alicilar_3pct,4846429112683759,Krampon_Video_V2,OUTCOME_SALES,AUCTION,893,360,2.48,24,17,51.61,2.15,57.79,143.36,2.73,1.9,17,14,10,1,0,0,0.0,13,7,165
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,413290843929087,Lookalike_Alicilar_3pct,656762469258616,YeniBahar_Video_V1,OUTCOME_SALES,AUCTION,579,315,1.84,16,14,34.65,2.17,59.84,110.0,2.85,2.42,14,11,6,0,0,0,0.0,5,8,74
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,8972315513725439,35-55_Outdoor_Ilgilenen,6883404966553497,DPA_Dinamik_V1,OUTCOME_SALES,AUCTION,1275,624,2.04,16,12,87.14,5.45,68.35,139.65,1.26,0.94,12,8,4,0,0,0,0.0,9,28,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,9644682928982844,Retargeting_UrunGoruntuleyen,7346636842727477,OkulAcilisi_Cocuk_V1,OUTCOME_SALES,AUCTION,399,193,2.07,5,3,32.78,6.56,82.16,169.84,1.38,0.75,3,2,1,0,0,0,0.0,1,3,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,9644682928982844,Retargeting_UrunGoruntuleyen,573001280528736,Krampon_Video_V2,OUTCOME_SALES,AUCTION,442,388,1.14,9,6,31.87,3.54,72.1,82.14,2.04,1.36,6,5,3,0,0,0,0.0,6,4,54
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,7841440513265621,Ebeveynler_CocukUrunleri,2531387466770413,Yilbasi_Hediye_Carousel_V1,OUTCOME_SALES,AUCTION,293,244,1.2,8,5,22.79,2.85,77.78,93.4,2.96,1.71,5,4,2,0,0,0,0.0,3,4,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,7841440513265621,Ebeveynler_CocukUrunleri,9720585975016426,OkulAcilisi_Cocuk_V1,OUTCOME_SALES,AUCTION,247,122,2.02,7,5,19.68,2.81,79.68,161.31,3.24,2.02,5,4,3,0,0,0,0.0,4,7,0
2024-10-01,2024-10-01,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,7841440513265621,Ebeveynler_CocukUrunleri,492417650488042,AdidasUltraboost_Video_V1,OUTCOME_SALES,AUCTION,574,405,1.42,16,12,26.03,1.63,45.35,64.27,2.9,2.09,12,10,5,0,0,0,0.0,11,11,129
2024-10-02,2024-10-02,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,7841440513265621,Ebeveynler_CocukUrunleri,8469946491355886,Krampon_Video_V2,OUTCOME_AWARENESS,AUCTION,668,333,2.01,8,5,28.38,3.55,42.49,85.23,1.31,0.75,5,3,1,0,0,0,0.0,2,16,139
2024-10-02,2024-10-02,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,7841440513265621,Ebeveynler_CocukUrunleri,6042805051520333,Indirim_Banner_V1,OUTCOME_AWARENESS,AUCTION,2576,1216,2.12,53,46,39.21,0.74,15.22,32.25,2.06,1.79,46,39,28,4,1,0,0.0,29,19,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,7841440513265621,Ebeveynler_CocukUrunleri,2531387466770413,Yilbasi_Hediye_Carousel_V1,OUTCOME_AWARENESS,AUCTION,622,337,1.85,8,6,26.01,3.25,41.82,77.18,1.42,0.96,6,4,2,0,0,0,0.0,2,16,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,3604975704973900,Retargeting_SepetTerk,7546818824868513,AdidasUltraboost_Video_V1,OUTCOME_AWARENESS,AUCTION,4155,2627,1.58,85,71,87.95,1.03,21.17,33.48,2.05,1.71,71,57,31,5,1,0,0.0,64,124,403
2024-10-02,2024-10-02,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8561692978165620,25-34_Erkek_Genel,3130972727882955,OkulAcilisi_Cocuk_V1,OUTCOME_AWARENESS,AUCTION,2240,1206,1.86,24,18,75.94,3.16,33.9,62.97,1.09,0.8,18,13,7,1,0,0,0.0,10,25,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6167666389913162,25-34_Kadin_Genel,9463337142606003,Esofman_Takimi_Banner_V1,OUTCOME_SALES,AUCTION,397,296,1.34,12,8,20.58,1.71,51.84,69.53,3.03,2.02,8,6,4,0,0,0,0.0,6,6,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6167666389913162,25-34_Kadin_Genel,7331548543507879,YeniBahar_Video_V1,OUTCOME_SALES,AUCTION,480,315,1.52,8,7,26.35,3.29,54.9,83.65,1.79,1.46,7,5,3,0,0,0,0.0,2,3,80
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6167666389913162,25-34_Kadin_Genel,9833926158470649,BlackFriday_Urgency_V1,OUTCOME_SALES,AUCTION,478,224,2.13,12,10,33.06,2.76,69.16,147.59,2.69,2.09,10,7,3,0,0,0,0.0,7,8,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,8972315513725439,35-55_Outdoor_Ilgilenen,6684620135515614,PumaSuede_Carousel_V1,OUTCOME_SALES,AUCTION,1645,1414,1.16,37,29,75.02,2.03,45.6,53.06,2.3,1.76,29,20,11,2,0,0,0.0,17,47,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,413290843929087,Lookalike_Alicilar_3pct,888810098111692,UrunKolaj_Hikaye_V1,OUTCOME_SALES,AUCTION,679,412,1.65,22,19,30.11,1.37,44.34,73.08,3.3,2.8,19,16,8,1,0,0,0.0,6,7,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,413290843929087,Lookalike_Alicilar_3pct,1236195503729971,NikeAF1_SingleImage_V1,OUTCOME_SALES,AUCTION,350,218,1.61,4,3,27.15,6.79,77.57,124.54,1.38,0.86,3,2,1,0,0,0,0.0,2,9,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6185498856456084,35-44_Erkek_Izmir_Ankara,4490347430381308,DPA_Dinamik_V1,OUTCOME_SALES,AUCTION,384,231,1.66,4,2,21.37,5.34,55.65,92.51,1.14,0.52,2,1,0,0,0,0,0.0,2,7,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6185498856456084,35-44_Erkek_Izmir_Ankara,1817867163874829,UrunKolaj_Hikaye_V1,OUTCOME_SALES,AUCTION,501,283,1.77,6,5,34.69,5.78,69.24,122.58,1.32,1.0,5,4,2,0,0,0,0.0,2,11,0
2024-10-02,2024-10-02,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,6185498856456084,35-44_Erkek_Izmir_Ankara,7892426490277009,NikeAF1_SingleImage_V1,OUTCOME_SALES,AUCTION,378,160,2.36,8,5,29.08,3.63,76.93,181.75,2.3,1.32,5,4,2,0,0,0,0.0,4,2,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8972315513725439,35-55_Outdoor_Ilgilenen,5439015689349978,NikeAF1_SingleImage_V1,OUTCOME_AWARENESS,AUCTION,1913,915,2.09,45,35,45.24,1.01,23.65,49.44,2.4,1.83,35,28,15,2,0,0,0.0,13,15,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8972315513725439,35-55_Outdoor_Ilgilenen,5153116558422054,Esofman_Takimi_Banner_V1,OUTCOME_AWARENESS,AUCTION,1456,719,2.03,35,27,64.9,1.85,44.57,90.26,2.41,1.85,27,21,16,2,0,0,0.0,12,34,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,1902337835291538,18-24_Erkek_Istanbul,5246598998257751,Krampon_Video_V2,OUTCOME_AWARENESS,AUCTION,3543,2220,1.6,33,27,68.97,2.09,19.47,31.07,0.94,0.76,27,23,13,2,1,0,0.0,12,41,680
2024-10-03,2024-10-03,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,1902337835291538,18-24_Erkek_Istanbul,138653005101024,Esofman_Takimi_Banner_V1,OUTCOME_AWARENESS,AUCTION,2552,1140,2.24,58,50,77.11,1.33,30.22,67.64,2.28,1.96,50,41,21,3,0,0,0.0,34,52,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,8972315513725439,35-55_Outdoor_Ilgilenen,6684620135515614,PumaSuede_Carousel_V1,OUTCOME_SALES,AUCTION,3066,1527,2.01,43,36,139.49,3.24,45.5,91.35,1.42,1.17,36,28,21,4,1,0,0.0,20,35,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,2976449384485004,18-30_Sneaker_Ilgilenen,6604748241191259,Indirim_Banner_V1,OUTCOME_SALES,AUCTION,1662,1140,1.46,52,42,64.13,1.23,38.59,56.25,3.15,2.53,42,29,20,2,0,0,0.0,33,39,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,2976449384485004,18-30_Sneaker_Ilgilenen,3224281686533004,Sneaker_Carousel_V1,OUTCOME_SALES,AUCTION,593,285,2.08,12,9,44.75,3.73,75.46,157.02,2.17,1.52,9,6,3,0,0,0,0.0,5,5,0
2024-10-03,2024-10-03,act_987654321,Sporthink TR,2480812497698284,SP_Meta_DPA_Genel,8561692978165620,25-34_Erkek_Genel,3130972727882955,OkulAcilisi_Cocuk_V1,OUTCOME_SALES,AUCTION,1577,1384,1.14,53,39,130.62,2.46,82.83,94.38,3.39,2.47,39,32,17,2,0,0,0.0,16,9,0
2024-10-04,2024-10-04,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8561692978165620,25-34_Erkek_Genel,7782348318359890,Kosu_Ayakkabi_Video_V1,OUTCOME_AWARENESS,AUCTION,1773,1458,1.22,39,31,67.47,1.73,38.05,46.28,2.22,1.75,31,21,13,1,0,0,0.0,12,12,422
2024-10-04,2024-10-04,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,8561692978165620,25-34_Erkek_Genel,3686799935455633,Indirim_Banner_V1,OUTCOME_AWARENESS,AUCTION,2531,1021,2.48,36,30,46.57,1.29,18.4,45.61,1.46,1.19,30,21,12,1,0,0,0.0,22,64,0
2024-10-04,2024-10-04,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,1535366938536237,Kis_Mont_Carousel_V1,OUTCOME_AWARENESS,AUCTION,1453,870,1.67,18,13,55.03,3.06,37.87,63.25,1.24,0.89,13,10,5,0,0,0,0.0,9,15,0
2024-10-04,2024-10-04,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,4151742495717958,AdidasUltraboost_Video_V1,OUTCOME_AWARENESS,AUCTION,1221,782,1.56,17,14,52.38,3.08,42.9,66.98,1.4,1.15,14,11,8,1,0,0,0.0,11,9,285
2024-10-04,2024-10-04,act_987654321,Sporthink TR,8726810040959039,SP_Meta_BrandAwareness_Q4_2024,6185498856456084,35-44_Erkek_Izmir_Ankara,9145606812053665,YeniBahar_Video_V1,OUTCOME_AWARENESS,AUCTION,1699,1278,1.33,29,26,35.59,1.23,20.95,27.85,1.74,1.53,26,22,15,2,0,0,0.0,22,26,93
