order_id,line_id,item_id,item_name,item_category,item_category2,item_brand,quantity,unit_price,line_total,discount_amount,refund_amount
SP-2024-000001,1,SP-AYK-SN-061,Puma Chuck Taylor All Star Unisex Sneaker,Ayakkabı,Sneaker,Puma,1,1899.0,1899.0,0.0,0.0
SP-2024-000001,2,SP-AYK-KS-017,Salomon Gel-Nimbus 26 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Salomon,1,4689.0,4689.0,0.0,0.0
SP-2024-000001,3,SP-AYK-VL-171,Columbia Gel-Task MT 3 Erkek Voleybol Ayakkabısı,Ayakkabı,Voleybol Ayakkabısı,Columbia,1,2409.0,2409.0,0.0,0.0
SP-2024-000001,4,SP-GYM-TS-017,Lacoste Cotton Logo Erkek Tişört,Giyim,Tişört,Lacoste,2,579.0,1158.0,0.0,0.0
SP-2024-000002,1,SP-AYK-SN-039,Birkenstock Stan Smith Kadın Sneaker,Ayakkabı,Sneaker,Birkenstock,1,2479.0,2479.0,0.0,0.0
SP-2024-000002,2,SP-AYK-OD-130,New Balance Terrex AX4 Erkek Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,New Balance,2,3009.0,6018.0,721.2,0.0
SP-2024-000003,1,SP-AYK-GN-083,Asics Tanjun Erkek Günlük Ayakkabı,Ayakkabı,Günlük Ayakkabı,Asics,1,1719.0,1719.0,344.4,0.0
SP-2024-000004,1,SP-AYK-KS-004,Nike Air Zoom Pegasus 41 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Nike,2,3759.0,7518.0,0.0,0.0
SP-2024-000004,2,SP-AYK-TR-145,Columbia Victori One Slide Kadın Terlik,Ayakkabı,Terlik,Columbia,3,1149.0,3447.0,0.0,0.0
SP-2024-000004,3,SP-AYK-OD-125,Birkenstock X Ultra 4 GTX Kadın Outdoor Ayakkabı,Ayakkabı,Outdoor Ayakkabı,Birkenstock,1,3859.0,3859.0,0.0,0.0
SP-2024-000005,1,SP-GYM-SR-105,Nike Dri-FIT Challenger Erkek Koşu Şort,Giyim,Şort,Nike,1,829.0,829.0,222.69,0.0
SP-2024-000005,2,SP-AYK-BT-179,Converse Manoa Leather Erkek Bot,Ayakkabı,Bot ve Çizme,Converse,1,2909.0,2909.0,447.25,0.0
SP-2024-000006,1,SP-AYK-KS-005,Columbia Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Columbia,1,2669.0,2669.0,0.0,0.0
SP-2024-000007,1,SP-GYM-SW-033,Columbia Essentials 3-Stripes Erkek Sweatshirt,Giyim,Sweatshirt,Columbia,2,1099.0,2198.0,0.0,0.0
SP-2024-000008,1,SP-AYK-SN-055,Birkenstock Old Skool Unisex Sneaker,Ayakkabı,Sneaker,Birkenstock,1,1849.0,1849.0,0.0,0.0
SP-2024-000008,2,SP-AYK-TR-143,Birkenstock Victori One Slide Unisex Terlik,Ayakkabı,Terlik,Birkenstock,1,779.0,779.0,183.27,0.0
SP-2024-000009,1,SP-GYM-SW-034,Columbia Essentials 3-Stripes Kadın Sweatshirt,Giyim,Sweatshirt,Columbia,1,1609.0,1609.0,0.0,922.03
SP-2024-000009,2,SP-AYK-KS-001,New Balance Air Zoom Pegasus 41 Erkek Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,New Balance,1,2939.0,2939.0,0.0,1684.19
SP-2024-000009,3,SP-AYK-KS-018,Salomon Gel-Nimbus 26 Kadın Koşu Ayakkabısı,Ayakkabı,Koşu Ayakkabısı,Salomon,1,4209.0,4209.0,0.0,2411.96
SP-2024-000010,1,SP-AYK-BK-115,Converse LeBron XXI Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Converse,1,4329.0,4329.0,1130.35,0.0
SP-2024-000010,2,SP-GYM-TS-018,Lacoste Cotton Logo Kadın Tişört,Giyim,Tişört,Lacoste,2,469.0,938.0,0.0,0.0
SP-2024-000011,1,SP-AYK-TR-159,Under Armour Classic Clog Erkek Terlik,Ayakkabı,Terlik,Under Armour,1,1789.0,1789.0,0.0,0.0
SP-2024-000012,1,SP-SML-KE-012,Puma Goalkeeper Match Kaleci Eldiveni,Spor Malzemeleri,Kaleci Eldiveni,Puma,1,1059.0,1059.0,0.0,0.0
SP-2024-000012,2,SP-GYM-MN-075,Lacoste Sportswear Windrunner Erkek Mont,Giyim,Mont,Lacoste,1,2099.0,2099.0,0.0,0.0
SP-2024-000013,1,SP-AYK-BK-115,Converse LeBron XXI Erkek Basketbol Ayakkabısı,Ayakkabı,Basketbol Ayakkabısı,Converse,1,4329.0,4329.0,0.0,0.0
SP-2024-000014,1,SP-AKS-CR-010,Adidas Everyday Cushioned 3'lü Erkek Çorap,Aksesuar,Çorap,Adidas,3,359.0,1077.0,0.0,0.0
SP-2024-000015,1,SP-GYM-FR-125,The North Face Fenerbahçe 2024/25 İç Saha Forması,Giyim,Forma,The North Face,2,1839.0,3678.0,0.0,0.0
