order_id,order_date,customer_id,city,device,channel,source,medium,campaign_name,coupon_code,product_count,order_revenue,shipping_cost,discount_amount,refund_amount,net_revenue,order_status,payment_method
SP-2024-000001,2024-10-01 12:38:42,CUST-01502,Istanbul,tablet,Organic Search,google,organic,,KISFIRSATI,5,10155.0,0.0,792.63,0.0,9362.37,shipped,debit_card
SP-2024-000002,2024-10-01 10:10:33,CUST-00483,Malatya,mobile,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,HOSGELDIN15,3,8497.0,0.0,721.2,0.0,7775.8,completed,pay_at_door
SP-2024-000003,2024-10-01 16:01:49,CUST-01502,Istanbul,tablet,Organic Search,google,organic,,BAHAR25,1,1719.0,29.9,344.4,0.0,1374.6,completed,debit_card
SP-2024-000004,2024-10-01 11:23:24,CUST-02842,Ankara,tablet,Organic Search,google,organic,,HOSGELDIN15,6,14824.0,0.0,1153.73,0.0,13670.27,completed,credit_card
SP-2024-000005,2024-10-01 18:12:12,CUST-02347,Istanbul,desktop,Direct,(direct),(none),,HOSGELDIN15,2,3738.0,29.9,669.94,0.0,3068.06,completed,bank_transfer
SP-2024-000006,2024-10-01 21:13:45,CUST-03916,Istanbul,mobile,Organic Search,google,organic,,,1,2669.0,29.9,0.0,0.0,2669.0,completed,debit_card
SP-2024-000007,2024-10-01 18:47:17,CUST-02985,Izmir,desktop,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,BAHAR25,2,2198.0,29.9,222.11,0.0,1975.89,completed,credit_card
SP-2024-000008,2024-10-01 00:00:35,CUST-02044,Adana,mobile,Paid Search,google,cpc,SP_Google_Shopping_Giyim,,2,2628.0,29.9,183.27,0.0,2444.73,completed,credit_card
SP-2024-000009,2024-10-01 20:41:24,CUST-04541,Erzurum,mobile,Organic Search,google,organic,,HOSGELDIN15,3,8757.0,0.0,1414.02,5018.18,2324.8,refunded,pay_at_door
SP-2024-000010,2024-10-01 20:43:43,CUST-00577,Istanbul,desktop,Direct,(direct),(none),,,3,5267.0,0.0,1130.35,0.0,4136.65,completed,credit_card
SP-2024-000011,2024-10-01 13:47:26,CUST-00690,Hatay,desktop,Paid Social,facebook,cpc,SP_Meta_DPA_Genel,,1,1789.0,29.9,0.0,0.0,1789.0,completed,credit_card
SP-2024-000012,2024-10-01 12:03:47,CUST-02359,Ankara,mobile,Organic Video,youtube.com,organic,,,2,3158.0,29.9,0.0,0.0,3158.0,completed,credit_card
SP-2024-000013,2024-10-01 20:45:09,CUST-03772,Istanbul,mobile,Paid Search,google,cpc,SP_Google_Search_Brand,,1,4329.0,29.9,0.0,0.0,4329.0,completed,credit_card
SP-2024-000014,2024-10-01 08:42:57,CUST-01025,Istanbul,desktop,Organic Search,google,organic,,YILBASI20,3,1077.0,29.9,213.55,0.0,863.45,completed,pay_at_door
